"Species3" "Mass"
"643" "Coeligena_lutetiae" 7.29
"644" "Coeligena_orina" 6.49
"645" "Coeligena_phalerata" 6.1
"646" "Coeligena_prunellei" 6.98
"647" "Coeligena_torquata" 6.72
"648" "Coeligena_violifer" 7.39
"649" "Coeligena_wilsoni" 6.7
"650" "Colibri_coruscans" 6.7
"651" "Colibri_delphinae" 6.4
"652" "Colibri_serrirostris" 6.7
"653" "Colibri_thalassinus" 5.9
"654" "Cyanophaia_bicolor" 4.5
"655" "Cynanthus_latirostris" 3.1
"656" "Cynanthus_sordidus" 4
"657" "Damophila_julie" 3.3
"658" "Discosura_conversii" 3
"659" "Discosura_langsdorffi" 2.8
"660" "Discosura_letitiae" 2.83
"661" "Discosura_longicaudus" 3.4
"662" "Discosura_popelairii" 2.5
"663" "Doricha_eliza" 2.5
"664" "Doricha_enicura" 2.4
"665" "Doryfera_johannae" 4.81
"666" "Doryfera_ludovicae" 6
"667" "Elvira_chionura" 3
"668" "Elvira_cupreiceps" 3
"669" "Ensifera_ensifera" 11.2
"670" "Eriocnemis_alinae" 4.24
"671" "Eriocnemis_cupreoventris" 5.3
"672" "Eriocnemis_derbyi" 5.5
"673" "Eriocnemis_glaucopoides" 3.7
"674" "Eriocnemis_godini" 5.06
"675" "Eriocnemis_isabellae" 4.5
"676" "Eriocnemis_luciani" 6
"677" "Eriocnemis_mirabilis" 5.06
"678" "Eriocnemis_mosquera" 5.3
"679" "Eriocnemis_nigrivestis" 8.5
"680" "Eriocnemis_vestita" 4.54
"681" "Eugenes_fulgens" 8
"682" "Eulampis_holosericeus" 5.7
"683" "Eulampis_jugularis" 8.85
"684" "Eulidia_yarrellii" 2.5
"685" "Eupetomena_macroura" 9
"686" "Eupherusa_cyanophrys" 4.8
"687" "Eupherusa_eximia" 4.3
"688" "Eupherusa_nigriventris" 3.5
"689" "Eupherusa_poliocerca" 4.8
