"Species" "Mass"
"546" "Pteropus_nitendiensis" "275.56"
"547" "Pteropus_anetianus" "397.22"
"548" "Pteropus_samoensis" "309.99"
"549" "Pteropus_rayneri" "661.28"
"550" "Pteropus_macrotis" "365.99"
"551" "Pteropus_woodfordi" "122.67"
"552" "Pteropus_gilliardorum" "406.94"
"553" "Pteropus_mahaganus" "297.28"
"554" "Pteropus_molossinus" "121.37"
"555" "Pteropus_pelagicus" "155.24"
"556" "Pteropus_tokudae" "153.7"
"557" "Pteropus_lombocensis" "256.15"
"558" "Acerodon_jubatus" "1087.04"
"559" "Acerodon_celebensis" "384.84"
"560" "Styloctenium_wallacei" "172.42"
"561" "Styloctenium_mindorensis" "212"
"563" "Melonycteris_melanops" "50.445"
"564" "Melonycteris_woodfordi" "36.2"
"565" "Melonycteris_fardoulisi" "48.4"
"566" "Pteralopex_taki" "286.7"
"567" "Mirimiri_acrodonta" "257.53"
"568" "Eidolon_helvum" "280.43"
"569" "Eidolon_dupreanum" "297.58"
"570" "Nyctimene_major" "60.33"
"571" "Nyctimene_aello" "85.26"
"572" "Nyctimene_vizcaccia" "30.9"
"573" "Nyctimene_albiventer" "29.95"
"574" "Nyctimene_robinsoni" "48.83"
"575" "Nyctimene_cephalotes" "44.92"
"576" "Paranyctimene_raptor" "23"
"577" "Eonycteris_spelaea" "55.15"
"578" "Eonycteris_robusta" "78.36"
"579" "Eonycteris_major" "80.85"
"580" "Rousettus_leschenaultii" "96.565"
"581" "Rousettus_madagascariensis" "65.72"
"582" "Rousettus_obliviosus" "45.32"
"583" "Rousettus_aegyptiacus" "134"
"584" "Rousettus_amplexicaudatus" "82.935"
"585" "Rousettus_spinalatus" "92.32"
"586" "Rousettus_lanosus" "103"
"587" "Myonycteris_relicta" "53.32"
"588" "Myonycteris_torquata" "37"
"589" "Myonycteris_brachycephala" "35.81"
"590" "Megaloglossus_woermanni" "14.555"
"591" "Megaloglossus_azagnyi" "14.555"
"592" "Nanonycteris_veldkampii" "21.89"
"593" "Epomophorus_labiatus" "69.65"
"594" "Micropteropus_pusillus" "25.38"
"595" "Epomophorus_gambianus" "80"
"596" "Epomophorus_wahlbergi" "86.795"
"597" "Epomops_franqueti" "118.99"
"598" "Hypsignathus_monstrosus" "336.97"
"599" "Scotonycteris_zenkeri" "21.3"
"600" "Scotonycteris_occidentalis" "21.3"
"601" "Scotonycteris_bergmansi" "21.3"
"603" "Casinycteris_argynnis" "28.28"
"604" "Syconycteris_australis" "17.55"
"605" "Macroglossus_sobrinus" "21.8"
"606" "Macroglossus_minimus" "16.1"
"607" "Harpyionycteris_whiteheadi" "135.48"
"608" "Harpyionycteris_celebensis" "126.125"
"609" "Dobsonia_minor" "80.1"
"610" "Dobsonia_moluccensis" "404.3"
"611" "Dobsonia_praedatrix" "179.12"
"612" "Dobsonia_inermis" "152.6"
"613" "Myzopoda_schliemanni" "9.1"
"614" "Myzopoda_aurita" "9.1"
"615" "Mystacina_tuberculata" "15"
"616" "Noctilio_leporinus" "44"
"617" "Noctilio_albiventris" "44"
"618" "Furipterus_horrens" "3.15"
"619" "Thyroptera_tricolor" "4.52"
"620" "Thyroptera_lavali" "5.6"
"621" "Thyroptera_discifera" "3.13"
"622" "Mormoops_megalophylla" "16.045"
"623" "Mormoops_blainvillei" "10.345"
"624" "Macrotus_waterhousii" "16.135"
"625" "Macrotus_californicus" "12"
"626" "Micronycteris_schmidtorum" "7.73"
"627" "Micronycteris_minuta" "6.65"
"629" "Micronycteris_matses" "10.7"
"631" "Micronycteris_microtis" "6.4"
"632" "Micronycteris_megalotis" "6.4"
"634" "Micronycteris_brosseti" "4.85"
"635" "Micronycteris_hirsuta" "12.89"
"636" "Lampronycteris_brachyotis" "10.39"
"637" "Monophyllus_redmani" "8.745"
"638" "Monophyllus_plethodon" "15.33"
"639" "Leptonycteris_nivalis" "22.63"
"640" "Leptonycteris_yerbabuenae" "24.26"
"641" "Leptonycteris_curasoae" "25"
"642" "Glossophaga_soricina" "10.25"
"643" "Glossophaga_longirostris" "10.9"
"644" "Glossophaga_leachii" "10.7"
"645" "Glossophaga_morenoi" "8.54"
"646" "Glossophaga_commissarisi" "9.3"
"647" "Phyllonycteris_poeyi" "15.59"
"648" "Phyllonycteris_aphylla" "14.15"
"649" "Erophylla_sezekorni" "16.1"
"650" "Erophylla_bombifrons" "16.1"
"651" "Brachyphylla_nana" "45"
"652" "Brachyphylla_cavernarum" "45"
"653" "Hylonycteris_underwoodi" "7.5"
"654" "Choeroniscus_minor" "8.63"
"655" "Choeroniscus_godmani" "7.9"
"656" "Musonycteris_harrisoni" "10.82"
"657" "Lichonycteris_obscura" "6.5"
"658" "Choeronycteris_mexicana" "19.13"
"659" "Anoura_caudifer" "11.155"
"660" "Anoura_latidens" "15.06"
"661" "Anoura_geoffroyi" "15.2"
"662" "Anoura_cultrata" "17.39"
"663" "Glyphonycteris_daviesi" "18.61"
"664" "Glyphonycteris_sylvestris" "8.91"
"665" "Trinycteris_nicefori" "8.25"
