Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Gallotia galloti,1839,Lacertidae,186,Paleartic,LC,68.4,Ter,2860.86489842685,825.542175292969,306.865142822266,17,0.0203714275443963,798147.11
Gallotia intermedia,1999,Lacertidae,3,Paleartic,CR,91.5,Ter,1251.60890894057,1046.8349609375,252.048278808594,1,0.0124794126973801,798147.11
Gallotia simonyi,1889,Lacertidae,27,Paleartic,CR,2671.6,Ter,275.610961890012,553.840209960938,35.2846603393555,0,0.00773729339855362,798147.11
Gallotia stehlini,1901,Lacertidae,21,Paleartic,LC,1085.8,Ter,1768.81560220019,476.111999511719,364.64501953125,11,0.00247355190801039,798147.11
Gambelia copeii,1882,Crotaphytidae,0,Neartic,LC,69,Ter,86649.8786661466,330.877471923828,8.89537334442139,10,0.0560826953640246,611998.2505
Gambelia sila,1890,Crotaphytidae,26,Neartic,EN,57.8,Ter,37816.189604792,322.119537353516,56.8263282775879,3,0.0214105165665759,9588951.986
Gambelia wislizenii,1852,Crotaphytidae,20,Neartic,LC,73.7,Ter,1407267.09176474,1322.94995117188,17.1463508605957,174,0.236464790823747,3789978.829
Garthia gaudichaudii,1836,Phyllodactylidae,0,Neotropic,LC,2.8,Ter,78652.8666415553,1310.28881835938,27.7057094573975,11,0.0384302641863964,67189.8065
Garthia penai,1966,Phyllodactylidae,0,Neotropic,,1,Ter,26206.2571330754,2477.34423828125,0.856191337108612,0,0.00299632001507328,153324.393
Garthius chaseni,1931,Viperidae,1,IndoMalay,LC,177,Ter,1234.15887359651,1196.04321289063,16.7509689331055,0,0.119758420123933,255152.621
Gastropholis echinata,1862,Lacertidae,1,Afrotropic,LC,22.9,Arb,622923.75087662,310.561431884766,120.742309570313,16,1.09243238724094,4482.55225
Gastropholis prasina,1904,Lacertidae,1,Afrotropic,NT,30.3,Arb,5994.67721799546,454.213348388672,78.8789520263672,1,0.00978780671331542,24354.982
Gastropholis tropidopholis,1916,Lacertidae,1,Afrotropic,LC,35.4,Arb,18979.8923411997,771.404296875,34.0995483398438,0,0.000570116870654198,24345.0625
Gastropholis vittata,1886,Lacertidae,1,Afrotropic,LC,29.5,Ter&Arb,15044.1555476418,181.294525146484,148.726089477539,0,0.312574890253467,16145.253
Gavialis gangeticus,1789,Gavialidae,93,IndoMalay,CR,1e+06,Aqu,1622202.3131296,377.982482910156,516.793029785156,66,,220003.878666667
Geagras redimitus,1875,Colubridae,1,Neotropic,DD,3,Fos,336.908551216307,1076.39709472656,3.14509081840515,0,0.00428008088114273,1021811.997
Geckolepis humbloti,1887,Gekkonidae,2,,,,Arb,,,,,,
Geckolepis maculata,1880,Gekkonidae,4,Afrotropic,LC,10,Arb,292354.194397898,470.522155761719,39.3337135314941,7,2.39888979133264,9613.2685
Geckolepis polylepis,1893,Gekkonidae,0,Afrotropic,DD,3,Arb,19294.4357703638,64.1673889160156,26.6865043640137,0,0.115484659171559,19348.695
Geckolepis typica,1867,Gekkonidae,2,Afrotropic,LC,5.3,Arb,180293.90803263,264.836547851563,23.7174854278564,0,0.627729653671234,19348.695
Gehyra angusticaudata,1963,Gekkonidae,0,IndoMalay,LC,4,,2346.35384128445,83.4219055175781,280.713104248047,0,0.00127965438976836,374740.434
