"Species","rates_mammals_svl","rates_mammals_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Phyllomys_dasythrix",0.0926215149610981,0.000523199904483598,"9","49.0002087025008","341.495892983671","17.9997911574991","13.4999998896971","15.000418172514","371.00110915295"
"Phyllomys_lamarum",-0.00928650095561852,0.0142910818074291,"7.99986055299943","62.0001386281822","158.990381223649","12.9998602541676","22.0001394470006","58.0025086505936","89.0224457104664"
"Phyllomys_blainvillii",0.0213235255122358,0.0699253046652574,"9.9997909749106","68.4996516353309","143.993801469893","13.999999882","23.0000002325858","81.9963032550255","22.0006972279819"
"Kannabateomys_amblyonyx",0.02193369828853,-0.0290219392126847,"9","54.0001391470006","273.996240262174","15.9998608449994","17.000139139598","31.0018798416048","250.991930297588"
"Thrichomys_laurentius",0.0374680026713384,0.15545580291273,"9.00020902479735","67.0002784674753","120.498189887017","13.9998604249995","24.0002783868812","88.9986058977655","11.9992334831926"
"Thrichomys_apereoides",-0.0375085851728488,-0.14644964888487,"9.00013945100055","66.9999997674081","123.999441509404","14","24.0004176301688","90.0000005462143","12.0013940712776"
"Callistomys_pictus",0.00620232212481082,0.0106137106417141,"6.99923294002417","60.4965830357111","148.997070482848","11.9988148062004","22.000209316206","24.5004890780135","234.508989151391"
"Myocastor_coypus",0.147836166450639,0.0453697263646329,"9.99972158906813","42.0002784943054","450.506027872959","21.9998607449994","10.0002784646128","40.9994420416946","68.5017409713212"
"Proechimys_longicaudatus",-0.0260127857263565,0.00646822808007002,"9","62.0002785940011","138.498052773797","14.9999999805955","22.9998606326988","71.9995823462921","53.0006962475089"
"Proechimys_roberti",0.0016354040816174,-0.00473822860571621,"8.00013940929455","68.9980498793445","86.0016030116896","12","25.0001392330006","76.0004877350278","33.9978398782078"
"Ctenomys_torquatus",0.0869585628185706,0.157539992896824,"9","43.0001393830006","433.997772377104","20.9999999806075","12.0002785100011","15.0001390996092","289.015878301709"
"Ctenomys_minutus",-0.570445783820353,-0.183127966449243,"8.99902426737107","48.0004176456064","346.989272064629","16.9991633789758","13.9999999806053","14.9998603136047","374.008072553573"
"Ctenomys_lami",0.491565376028157,0.0878563890071414,"5.99999915830129","36.4997875167048","359.992197605436","15.9997206243007","14.5000002780005","16.9993737998938","291.509663403057"
"Ctenomys_ibicuiensis",0.0183889433889516,0.00226817848156342,"9","44.0004178856086","422.994707979551","20.9997215013919","14.999999744","19.9993033597833","334.012537607762"
