Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Phalotris lemniscatus,7.50625,295.90775,9.025,9.5165,60.091,335.7,129.99247054881,2947.00166438152,165.99833204938,128.98927579498,635.005981878278,5743.74315711815
Phalotris matogrossensis,9.38125,275.30175,7.15,11.94975,76.8305,412.375,141.99930703665,3190.91880902319,80.992896728781,170.9983319927,792.994847992514,6334.73078753863
Phalotris mertensi,5.99375,199.905,5.1,6.7415,72.05625,263.775,172.98704990082,2408.96322357301,120.988452887277,184.98704946422,796.987335190941,5154.60121149351
Phalotris multipunctatus,3.919,67.34325,1.85,4.33325,33.2055,93.95,83.9977745220303,1304.97017838281,34.996935048868,84.9981918219701,459.992343710319,2575.93667254729
Phalotris nasutus,5.39375,174.072,4.4,6.72525,40.4715,113.6,122.99484718175,2199.9167384905,63.997074363351,141.99512607205,574.975083245448,1809.91134186059
Phalotris nigrilatus,0,0,0,0,0,0,36.9974914142699,782.96752931531,18.00139175711,30.9983274445804,101.994148486464,1121.02071699135
Phalotris sansebastiani,0.612500000000001,65.157,1.45,1.07475,14.1485,57.525,53.9983285808098,1087.01001585359,32.998328993191,49.9988853670002,313.985655433863,1439.86611032767
Phalotris tricolor,23.90425,536.3755,14.55,26.6165,121.58125,382.55,436.96211604085,7102.8283382357,218.993734586542,481.96489831845,1266.98050224612,5556.05932664022
Philodryas aestiva,24.40625,528.365,15.025,27.317,128.0395,427.125,329.99081235777,5126.92447221262,236.98649921875,380.99094407666,1350.96921197471,6476.72535950826
Philodryas agassizii,10.19375,412.121,11.575,14.28325,91.409,423.825,182.98677271971,4276.94105665345,180.99276480131,203.9867727517,949.970732026386,6456.71503774644
Philodryas argentea,12.777,136.347,4.175,12.8585,80.62825,873.3,309.97033627073,1983.93052251857,125.991645595977,315.96894380261,847.958196649154,32449.668878223
Philodryas arnaldoi,6.5435,220.66625,5.575,8.45,70.8165,390.175,133.99177565976,2646.92771619719,109.000976291343,140.98816319738,739.008497571414,6170.72744173345
Philodryas baroni,14.70425,286.203,8.075,16.4585,40.76975,46.8,277.96934810683,3223.8763778906,110.994432621177,288.97227216967,558.002490803296,1007.77569066608
Philodryas boliviana,6.642,79.398,2.2,7.77525,30.96575,124.7,236.96058906251,1415.97483763812,100.99665736578,234.96128544877,625.970763343986,3891.80543527844
Philodryas chamissonis,15.712,386.042,10.625,18.0335,56.58025,158.725,425.9877461612,7104.21921908203,307.963923432463,461.98955390624,1254.89817383352,6805.658397067
Philodryas georgeboulengeri,13.91675,95.037,3.3,15.20025,58.0725,579.15,325.98412824126,1522.96185927357,130.982036331981,339.98315378009,751.941090189845,8007.02774693253
Philodryas laticeps,9.2605,281.06,7.9,11.73325,80.644,411.575,225.9618521761,3174.96782818526,152.998747010025,246.96199132816,842.992062091375,6412.72604668795
Philodryas livida,5.7355,149.55375,3.9,7.3165,47.26775,147.175,95.9986109083302,2019.97661528732,46.996933467094,114.99930695238,598.985242198325,2980.90408513485
Philodryas mattogrossensis,8.8815,313.44,8.475,10.7665,58.0975,177.375,136.98286491821,3445.98314213395,99.993592244245,168.98328295575,730.965881136603,3322.75107224992
Philodryas nattereri,7.37475,180.42825,4.925,9.24175,85.58575,267.225,151.99261886981,2566.94613482359,148.998747553761,165.99178283112,1068.94884687131,4192.98885497339
Philodryas olfersii,26.956,504.7195,14.425,31.2665,135.776,827.1,396.97007598018,6219.8261375673,303.987745617109,458.96882484214,1402.954448801,12440.6111113554
Philodryas patagoniensis,26.956,644.4525,17.85,31.2665,128.0395,427.125,504.94873697672,7742.80396213446,298.998051161594,576.94469903674,1398.97770812881,6476.72535950826
Philodryas psammophidea,25.527,638.78925,17.775,29.22475,135.776,427.375,481.94971222984,7861.55477969036,289.970051804696,558.94581358052,1398.97770812881,6483.72633286144
Philodryas trilineata,18.8875,276.8105,7.875,16.92475,91.72375,62.3,429.94873771605,5874.68764656972,205.979263549699,446.94525598353,1292.95083813663,1707.80433433265
Philodryas varia,22.8935,439.8495,11.925,26.8165,60.017,207.925,309.99957918744,4720.75106948125,178.984262125731,362.99832309378,963.941204204052,4862.72516742638
