Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Physalaemus_nattereri,25.76975,144.113,4.875,23.741625,78.992625,36.9,2973.99756333242,1499.46562538147,148.000765773364,2949.00376054895,772.497218763301,467.986223320922
Physalaemus_obtectus,24.35625,186.3725,5.475,21.825,83.459,47.15,2967.00111439658,1823.98732847763,143.998188427975,2941.00153243373,847.96167108892,436.093268639209
Physalaemus_olfersii,21.802125,211.10825,5.9875,19.07075,70.3355,89.5125,2937.00139343808,2156.46923037571,151.498674819137,2906.5034862656,637.998721437908,1102.91500940152
Physalaemus_orophilus,23.07925,179.15475,5.275,20.58325,90.4425,28.25,2945.0011173268,1849.99513624526,146.999582145827,2918.00118703453,885.994427396788,401.990398286274
Physalaemus_riograndensis,21.008375,429.8935,12.3125,15.674875,19.483125,266.55,2924.00048727833,4135.9644987276,203.998120753697,2871.50069514789,205.996722644821,2713.5684898162
Physalaemus_rupestris,21.6625,202.102,5.825,18.975,82.37825,53.525,2934.00376410029,2107.99207945437,154.000139823617,2905.00376384769,774.004588565728,580.988312710339
Physalaemus_santafecinus,22.3875,447.61925,13.175,16.86675,50.5795,102.625,2936.00125268566,4268.97870633212,208.999721613951,2881.0013918399,465.993725943449,1185.04391105079
Physalaemus_signifer,24.25725,183.066875,5.3,22.354125,66.675375,100.6,2970.00111628133,1756.93933467155,128.988356080202,2947.50188233626,520.509292755865,1583.87744892738
Physalaemus_soaresi,21.8,211.07875,6.075,19.08325,72.65575,83.875,2950.9990289585,2171.98509992012,150.999302211187,2922.99916861114,659.004013248325,955.015989502628
Physalaemus_spiniger,21.402125,239.325125,6.625,18.358375,52.6195,173,2945.99993366815,2375.93241807145,132.494278873199,2913.00132736855,442.005326855312,2428.29244295692
Phyzelaphryne_miriamae,26.427375,53.4335,1.65,25.850125,50.4745,194.8125,2989.49951204483,461.505572570773,95.4994433218917,2983.99993029487,505.495128332168,1953.00003214732
Pipa_arrabali,26.423,64.05325,2.05,25.5835,52.999,220.725,2989.99832771481,584.99902610063,94.9988847655984,2982.99958242286,534.9775717903,2389.03836936187
Pipa_aspera,26.755125,81.992375,2.3375,26.075,45.057375,272.425,2989.50048739486,751.462038009446,115.998746105746,2983.00020873369,449.505298668745,2364.52456633288
Pipa_carvalhoi,26.331,147.2375,4.3,24.2165,73.778,53.75,2983.00000077541,1486.92635536035,131.992609281896,2961.0039031719,599.941937750317,760.205050325747
Pipa_myersi,26.71875,45.91725,1.35,26.18325,44.137,211.725,2994.99066676556,541.987044588472,102.997909363434,2986.99108468611,355.01782545071,3267.12269965813
Pipa_parva,26.953125,53.10325,1.65,26.341625,55.164375,93.1,2995.49498497987,563.505640300767,100.494357838975,2986.00208940959,527.011144319737,949.037301026
Pipa_pipa,26.15,68.19275,2.075,25.34175,54.02025,206.025,2986.00097519995,593.997631591323,99.9994431599952,2979.0000000532,540.998752110228,1895.0529123021
Pipa_snethlageae,26.30225,61.70525,1.875,25.675,41.2975,331.95,2989.00000007763,463.998605778847,85.0001402154463,2982.99958147307,410.990952021108,2880.09157874874
Pithecopus_ayeaye,22.72275,179.25,5.25,20.05825,79.47575,51.25,2944.9990261813,1933.96004611294,149.999025199867,2915.9995830659,763.004733398114,586.971729048107
Pithecopus_azureus,25.899875,176.841125,5.475,23.312625,75.5085,45.6375,2974.00055622382,1845.97034856705,152.998467173075,2946.49993027978,693.507663089798,593.496236446013
Pithecopus_centralis,26.94575,118.91525,4.65,25.55,78.21125,27.6,2978.9997204651,1063.96922474625,139.001810196248,2962.00041659935,710.014900579602,457.967971582427
Pithecopus_hypochondrialis,26.34175,102.155,3.15,25.39175,68.02525,77.025,2987.99930440394,928.997074139343,124.999721956495,2978.99999988622,657.993040806368,842.017665318461
Pithecopus_megacephalus,23.137625,182.763625,5.375,20.625,89.21725,32.4375,2952.50055970813,1863.48990654622,146.499234140917,2925.75059464355,874.994984384154,401.497709432404
Pithecopus_nordestinus,26.69475,139.232,4.475,24.8835,92.04,18.2,2984.50062665581,1360.99508073895,137.998884493147,2962.50222955406,911.002435317613,169.989976067107
Pithecopus_oreades,25.7635,114.406,3.75,24.625,87.840125,15.55,2964.00208755241,1027.51011820814,145.500000905702,2950.50215673264,829.504669906706,181.990947330148
Pithecopus_palliatus,26.104,61.534,1.875,25.19175,63.43975,137.4,2983.99986082575,605.011560101199,108.999164916707,2973.00000010521,579.007936567786,1390.9482107801
Pithecopus_rohdei,22.80225,203.580625,5.9125,20.187625,73.266875,77.7625,2946.50062762938,2117.4938194317,147.998605698315,2918.50087154541,676.006803096926,880.535959048811
Pleurodema_alium,25.22525,141.662,4.625,23.26675,98.837,6.675,2958.99846798405,1510.98693368971,142.998746213609,2934.99846772805,937.989119136007,127.014789938589
Pleurodema_bibroni,20.22525,430.01325,12.225,15.375,13.38975,325.575,2915.00153276578,4090.95679365031,200.999022429011,2863.00250516817,148.9990207981,3368.91258101073
Pleurodema_borellii,15.7605,418.13025,11.8,10.32475,98.98025,18.775,2938.00153453943,4122.98206811049,211.998887407707,2882.00139496519,927.990948897496,155.992347153791
Pleurodema_brachyops,26.65,80.97025,2.7,25.592,62.07425,104.525,2995.99930319419,829.998463685226,107.001253408467,2984.00027812124,618.034401746168,1044.40447667074
