inertia,OMI,Tol,Rtol,omi,tol,rtol
Chironius.quadricarinatus,3.80831361317151,0.0117389092869317,1.63358294505175,2.16299175883283,0.3,42.9,56.8
Clelia.clelia,2.14556979190788,0.416639091816756,0.110022368750772,1.61890833134035,19.4,5.1,75.5
Clelia.hussami,6.50949686418867,5.68543938675608,0.218072332590789,0.605985144841803,87.3,3.4,9.3
Clelia.plumbea,3.90824916150798,0.00299244862914326,0.571642049809664,3.33361466306917,0.1,14.6,85.3
Coleodactylus.brachystoma,3.46320042781159,3.34602478448041,0.0379759159195769,0.0791997274116062,96.6,1.1,2.3
Coleodactylus.meridionalis,6.7329469127849,4.1356764305867,0.262061460615123,2.33520902158308,61.4,3.9,34.7
Coleodactylus.natalensis,10.5491278305115,9.20467791881606,0.555164818076762,0.789285093618635,87.3,5.3,7.5
Colobodactylus.dalcyanus,2.08149135905029,0.901586223628895,0.269356102205604,0.910549033215796,43.3,12.9,43.7
Colobodactylus.taunayi,3.83309591159178,2.98015060182531,0.287976860288417,0.564968449478053,77.7,7.5,14.7
Colobosaura.modesta,2.12282406207142,1.59616167938705,0.205341128783777,0.321321253900599,75.2,9.7,15.1
Contomastix.leachei,6.85883812274813,5.44883453985044,0.373934401794952,1.03606918110274,79.4,5.5,15.1
Contomastix.vacariensis,5.38260282263048,4.14766567211224,0.410313063702492,0.824624086815749,77.1,7.6,15.3
Copeoglossum.nigropunctatum,2.44213155509281,1.77583072745123,0.184657501536933,0.481643326104646,72.7,7.6,19.7
Corallus.cropanii,3.27675857456657,1.22725017180726,1.16697047793488,0.882537924824422,37.5,35.6,26.9
Corallus.hortulanus,3.34758931765796,0.649897410006483,0.94765213249444,1.75003977515704,19.4,28.3,52.3
Coronelaps.lepidus,4.28164795857012,1.53144227072534,0.526482549361874,2.22372313848291,35.8,12.3,51.9
Crotalus.durissus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Dendrophidion.atlantica,6.8952789641031,6.39402813361958,0.321731529815626,0.179519300667894,92.7,4.7,2.6
Diploglossus.lessonae,7.78730079089726,5.90254853911282,0.454145495592882,1.43060675619156,75.8,5.8,18.4
Dipsas.albifrons,3.28386651705144,0.29256340967883,0.501533808469532,2.48976929890308,8.9,15.3,75.8
Dipsas.alternans,3.70156843587161,0.46461166777183,1.39243354590956,1.84452322219022,12.6,37.6,49.8
Dipsas.bucephala,2.80498125069128,0.267637425800207,1.0178329171275,1.51951090776357,9.5,36.3,54.2
Dipsas.catesbyi,6.11658418889018,4.63710987621986,0.315129845560121,1.1643444671102,75.8,5.2,19
Dipsas.indica,3.78802152410304,0.0157827620506415,1.62548105808057,2.14675770397183,0.4,42.9,56.7
Dipsas.sazimai,3.60713679367966,1.31493573581147,0.442104804322769,1.85009625354542,36.5,12.3,51.3
Dipsas.variegata,3.90048577385758,0.750340944385511,0.778468671682769,2.3716761577893,19.2,20,60.8
Ditaxodon.taeniatus,3.66118094905272,1.25708314886981,1.33016004913822,1.07393775104469,34.3,36.3,29.3
Dryadosaura.nordestina,8.13763326960026,6.47088738138252,0.469421476284667,1.19732441193307,79.5,5.8,14.7
Drymarchon.corais,4.2887554933361,1.90375181232897,0.384155044714083,2.00084863629304,44.4,9,46.7
Drymoluber.brazili,3.39726030377905,1.31306161706389,0.481507411162638,1.60269127555252,38.7,14.2,47.2
Drymoluber.dichrous,4.75169362259908,1.96688752917193,0.484042759936976,2.30076333349017,41.4,10.2,48.4
Echinanthera.amoena,2.69824649230289,0.257174657055023,0.451017576667105,1.99005425858076,9.5,16.7,73.8
Echinanthera.cephalomaculata,6.64334105913943,5.13297773835715,0.413303965016689,1.09705935576559,77.3,6.2,16.5
Echinanthera.cephalostriata,3.34466369930672,0.0927173211633188,0.867370672779001,2.3845757053644,2.8,25.9,71.3
Echinanthera.cyanopleura,3.79003261772046,0.697736004835189,1.6958367932369,1.39645981964838,18.4,44.7,36.8
Echinanthera.melanostigma,2.4440301878914,0.819036354422857,0.248381712907177,1.37661212056136,33.5,10.2,56.3
Echinanthera.undulata,2.83983092715902,0.388156802353351,0.541045572610885,1.91062855219479,13.7,19.1,67.3
Ecpleopus.gaudichaudii,3.19808474820361,0.34305835909716,0.499510107044637,2.35551628206181,10.7,15.6,73.7
Elapomorphus.quinquelineatus,2.9734981893672,0.453924127542842,0.432249155069026,2.08732490675534,15.3,14.5,70.2
Elapomorphus.wuchereri,4.62631937686723,2.6884767291431,0.214455182129444,1.72338746559469,58.1,4.6,37.3
Enyalius.bibronii,5.17450842384117,2.39323276108891,0.474443448232526,2.30683221451974,46.3,9.2,44.6
Enyalius.bilineatus,3.0666417702136,1.72687791839671,0.162909026109305,1.17685482570759,56.3,5.3,38.4
Enyalius.boulengeri,1.91179939745312,0.479578439016635,0.20985130306538,1.22236965537111,25.1,11,63.9
