Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Dasyprocta variegata,25.655125,71.32125,2.25,24.833125,65.027375,102.7,2977.00083577371,689.000913348791,108.499512816326,2965.00118363144,597.995473726526,1090.01118776857
Dasypus hybridus,20.17275,459.104,13.325,14.6835,33.21625,152.175,2914.00222579112,4404.9739707951,213.999164011506,2862.00139176572,315.992892085665,1637.98139165736
Dasypus kappleri,26.14675,70.1605,2.125,25.34175,52.235375,225.975,2986.0004876274,579.496590501029,97.0000695689263,2979.0000000809,509.508569127751,2217.59641812448
Dasypus novemcinctus,25.47925,123.76475,3.85,24.0585,60.80575,106.975,2978.00139201711,1152.99207219907,134.000696901067,2961.00152901995,573.999589286925,1164.01956006177
Dasypus pilosus,15.5105,56.43975,1.725,14.88325,54.85325,162.575,2882.02102512299,557.0027925723,105.999442609813,2873.02158201161,517.982875208779,2531.00145456073
Dasypus sabanicola,26.689625,96.40975,3,25.595875,66.741625,86.825,2999.49958190568,1029.47862049838,112.998955615545,2987.50041800507,684.978756941539,659.499920524959
Dasypus septemcinctus,25.99275,140.78,4.5125,24.6335,76.33,45.0125,2979.00083542903,1352.01416372473,144.00062711043,2959.5013942002,736.503275849373,489.540208640499
Dasypus yepesi,14.10025,382.74175,10.6,8.93325,100.64025,15.775,2931.00585045816,3917.04025014314,202.001811005931,2876.00501505001,927.990948897496,178.001241529832
Delomys collinus,22.28125,211.07875,5.9,19.2665,73.878,82.225,2940.00794028593,2155.98316514458,152.000001133608,2913.00891603226,693.009592945527,955.015989502628
Delomys dorsalis,21.01475,307.28125,8.425,17.775,22.596,323.525,2918.00278205121,2949.94791672478,164.990797712787,2879.00501147963,224.009756020141,3369.94690770207
Delomys sublineatus,21.78525,211.07875,5.975,18.975,72.65575,82.225,2939.00181457021,2156.95529560684,150.999302211187,2908.0032086835,673.017400177516,955.015989502628
Deltamys kempi,19.1135,449.967,12.825,13.7875,12.4575,269.3375,2906.00048684015,4268.97156007213,209.496897814765,2851.50187908244,149.001047162485,2694.57793646506
Didelphis albiventris,25.070875,201.25975,5.8625,22.158125,74.154625,45.9125,2964.99888536421,2129.46018522903,152.999095033368,2932.50160085411,677.99644927343,546.156634828704
Didelphis aurita,23.65,209.800125,5.8875,20.74575,57.5425,110.9,2952.50118596084,2156.46923037571,151.999860438649,2919.00132121828,522.525355398528,1430.87120814613
Didelphis imperfecta,25.3395,81.635,2.725,24.5665,49.21225,286.4,2980.99999994682,580.010032273801,96.9990248056695,2972.00139353697,440.001671290075,3090.02850718469
Didelphis marsupialis,26.00625,72.749,2.225,25.13325,57.06375,179.475,2985.99986086115,660.019648635278,102.986208957763,2977.00055713599,556.993039866295,1703.06319495114
Didelphis pernigra,19.48725,66.7335,2.025,18.79175,57.50475,162.575,2904.00459638838,639.951266091783,104.000278480991,2895.01740630504,547.004460450006,1951.57038393128
Didelphis virginiana,17.5895,734.15675,20.225,8.4,42.251,142.125,2896.00988574338,7237.03457982175,298.001674404116,2805.99790961724,399.009064997905,1509.11837615845
Dinomys branickii,25.064625,59.417625,1.7625,24.279125,39.0785,281.3875,2978.49474433936,541.008911122075,95.9990950718931,2967.50013948134,387.495824746129,2682.05423407905
Diplomys caniceps,22.65425,27.91775,0.95,22.375,32.809,405.75,2904.02270303727,287.022007871948,103.99749289168,2901.02228515552,367.022562076254,3453.88273428695
Diplomys labilis,26.051,31.5305,0.9375,25.695625,26.1785,798.0625,2986.99993037327,268.994637904471,55.9994444166706,2983.99993038497,290.495749827,7198.32423437638
Dipodomys merriami,19.702,636.35225,16.75,11.9,69.70275,21.25,2919.00375737498,6672.15393717495,312.000695931232,2841.00167010581,648.967964509178,295.019354876149
Dipodomys ordii,11.42175,808.6085,22.1875,1.125,57.83275,38.4125,2844.99958069582,8768.07446925781,363.002230021982,2729.99707682473,560.48321985045,387.998847393373
Dipodomys phillipsii,18.03525,189.83775,5.45,15.7665,81.64925,45.2,2874.02813071371,1821.21115247814,186.990390998031,2849.02423098002,851.988154559824,323.168344033844
Dolichotis patagonum,16.26675,580.573,16.45,8.95825,49.5895,39.775,2882.99986015991,5438.85707300416,257.001390982285,2812.00013956809,461.005550278468,490.008226247298
Dolichotis salinicola,23.01675,401.43225,11.275,17.14175,82.6305,22.225,2956.00125296505,4007.92082315525,206.998747167561,2902.0011131748,770.973123250206,255.009322072421
Dromiciops gliroides,12.71025,400.147375,11.15,8.68325,73.2605,96.7,2842.49769963039,3248.19847233257,191.506126973462,2803.99240570282,650.510225595474,2053.24990042175
Drymoreomys albimaculatus,21.350875,240.25425,6.5,18.270625,55.320875,145.8125,2930.00167252937,2402.46532634422,153.499999046304,2899.50229748613,472.017662704467,1862.35138027267
Dusicyon australis,7.58525,264.265,7.35,4.4915,22.322,114.775,2800.00076454461,2577.90140830264,107.493738937208,2767.50250384241,195.014322342241,1088.47254869719
Dusicyon avus,15.929,528.99575,15.175,8.975,32.079,57.9,2877.99916862652,5131.96644894412,240.999024528975,2810.00083555434,334.007513364986,609.975088902403
Echimys chrysurus,26.4665,81.67825,2.475,25.64975,55.497,205.325,2990.00083591028,768.016451091126,104.988579493077,2982.99665868863,578.996515301198,1885.90026906909
Echimys saturnus,25.00825,60.656,1.775,24.16675,18.9965,683.8,2979.99986078055,589.006543777927,83.0006964182528,2970.0002785303,168.017266505876,6225.01671936876
Echimys vieirai,26.9895,64.05325,1.825,26.44175,52.6885,217.85,2993.00083503073,626.002929792117,87.9998634978891,2986.00083501133,553.014904602196,2114.99022995015
Eira barbara,25.97075,93.24575,2.925,24.85825,63.86175,116.375,2984.00013922485,865.017630765636,118.999581653378,2973.00146236655,601.495266789678,1216.49605886984
Eligmodontia moreni,15.2335,504.56125,14.2375,8.64575,91.300625,8.2125,2911.49923864404,5054.37256709935,242.995338760093,2836.00069937412,930.001106002931,103.005576132572
Eligmodontia morgani,8.47275,477.643,13.2,2.79175,37.505,40.45,2808.00013919783,5216.08647089307,243.002087498133,2742.00041970392,331.994158724427,578.983568315124
Eligmodontia puerulus,7.491625,284.679625,7.875,4.429125,112.26725,3.7,2806.00348171598,2297.64477493664,204.499097121161,2774.00292555619,1138.98709524909,87.0007625699841
Eligmodontia typus,12.8605,593.16425,16.7,5.74175,33.25325,39.775,2860.00265088209,5501.85329175379,262.998607499494,2790.00167625352,343.010715770315,484.993185976542
Eremoryzomys polius,20.13525,66.48175,2.025,19.29175,54.88825,110.375,2907.0041789563,677.96102666921,101.99916397878,2899.00390022721,507.971319536177,1090.18381169061
Erethizon dorsatum,1.81475,1072.41625,29.9,-12.2,49.17025,59.85,2744.00013917944,10956.093365049,400.002928575862,2599.99191627076,508.000558303445,653.004433894197
Euneomys chinchilloides,6.09775,283.83325,7.9,2.9915,14.86625,107.225,2781.00333879955,2921.08940542823,133.005290526781,2747.99860244646,141.003611355461,1981.70502570071
Euneomys fossor,6.44375,378.01825,10.35,1.395625,110.65725,5.9125,2829.00704245749,3396.31627667707,198.50083558488,2782.50634564093,1103.00186138249,110.001392676664
Euneomys mordax,10.491625,508.928625,14.225,5.079125,80.166375,73.2375,2778.00675703706,4845.13290774134,234.507313736002,2717.50501535804,762.967318925291,1483.89495263754
Euneomys petersoni,9.4165,511.342125,14.2,3.420875,33.98925,38.5375,2814.50389901176,5245.56078838754,249.001183009738,2744.99951735284,329.994289498697,542.985155011824
Euphractus sexcinctus,25.821875,147.0035,4.6375,23.93325,73.00575,54.475,2976.00208827887,1489.2491691168,145.999303929449,2952.99951160261,695.00724427087,602.02481561161
Euryoryzomys emmonsae,26.1145,80.1735,2.65,25.14975,72.4125,43.45,2985.99986058174,789.005011737984,125.99916500052,2978.00013966642,723.993176237512,346.01781311611
Euryoryzomys lamia,24.81875,119.6675,3.85,23.375,86.93775,22.75,2962.00334245776,1187.99640904792,148.99986004694,2941.9988839612,832.007249075372,263.988580983538
Euryoryzomys legatus,19.1685,307.954,8.825,15.23325,94.991,15.775,2938.00696476919,3330.95895626423,187.999863222717,2896.00431953334,867.98621216458,255.009322072421
Euryoryzomys macconnelli,26.077,68.33225,2,25.28325,47.809,270.375,2986.99972156751,568.015036539161,94.999164706293,2979.99916444048,467.021718410567,2658.7891822646
Euryoryzomys nitidus,25.942875,75.555,2.4875,24.904125,64.2515,132.9875,2981.99853818233,748.489769832499,111.501740951568,2965.50125335717,578.502368688478,1374.41496928671
Euryoryzomys russatus,22.90325,244.5765,6.7,19.67075,46.272625,159.1625,2941.50159995198,2560.43593511547,155.999929816272,2907.00118133143,404.779170604048,1913.41966940221
Euryzygomatomys spinosus,21.951,275.323625,7.525,18.270625,34.156375,240.125,2931.49965070847,2699.96108270101,159.494703193044,2896.0005540442,314.523810132979,2685.85034454114
Galea comes,6.98125,344.63275,9.2,2.475,117.26775,2.3,2821.01602049546,3081.0556952834,214.993730292333,2782.01587992957,1132.95807019312,72.0093404542717
Galea flavidens,26.836375,118.933375,3.6125,25.612625,89.767875,12.0625,2979.50013697514,973.000354047725,145.99867728084,2968.50055454029,848.001458382159,129.492412860322
Galea leucoblephara,17.844875,520.557625,14.975,11.29175,67.209375,38.8375,2906.50090452992,4869.45094089085,230.499094888822,2844.00306590382,625.497746859008,468.013443138754
Galea musteloides,10.203125,171.714,5.1125,7.258125,99.354625,16.4625,2825.49714405093,1544.00794463324,167.997495108936,2800.00627091373,922.471878874439,216.14049451575
Galea spixii,27.28125,125.5945,4.025,26.06675,85.469,25.6,2995.00041841373,1096.01463065774,130.003204458855,2983.0001397618,854.997047930144,189.010146154982
Galenomys garleppi,8.14275,186.037,5.175,5.762375,111.29525,13.5875,2809.00250732774,1699.9549695736,189.994780261144,2786.00306389515,1026.46768937301,206.634688447595
