Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Phymaturus roigorum,8.296,615.02175,17.225,1.04975,54.278,48.625,2826.00487608043,6190.91860084772,296.998326026786,2747.00571274953,315.996683177043,689.979849360061
Phymaturus sitesi,11.866625,631.792,17.7375,4.416375,39.059,40.9,2868.9984737655,6085.4494775738,301.996589775235,2791.99903052628,225.521288423087,498.011159495086
Placosoma cipoense,23.196,178.0825,5.225,20.68325,89.42175,29.125,2951.00097401536,1819.97598039695,148.000695439015,2925.00167010739,863.99554137152,401.005020578535
Placosoma cordylinum,25.527125,134.972875,4.8125,23.45825,79.60875,30.45,2972.50041666835,1404.45593539701,145.500487965033,2953.99930312265,778.008286134516,391.49755333929
Placosoma glabellum,24.0345,187.2235,5.475,21.604125,76.271625,57.3375,2959.4995132515,1944.96172347532,150.99895544853,2929.50041890812,743.008079504216,595.495502092022
Platemys platycephala,26.15625,74.778875,2.35,25.3,62.55875,151,2985.99999983378,660.016863415888,107.000070228235,2978.000557088,593.96921035016,1489.04133380535
Plica kathleenae,25.7875,93.7195,2.6,24.7,65.95625,198.375,2984.00055724799,547.025643025771,99.0018118010572,2978.0002785097,535.011005697466,2912.88337251408
Plica plica,26.125,71.61,2.2,25.3,56.43375,187.55,2986.00055707776,619.992482674593,102.000557460614,2978.99693484537,555.002368640831,1813.09930558197
Plica umbra,26.055375,67.70175,2.05,25.28325,52.7215,221.7375,2986.00020873808,585.987320415,99.0002795538951,2978.99763178579,511.506827185525,2172.4830338967
Podocnemis erythrocephala,26.2835,74.766,2.075,25.49175,37.7835,440.075,2988.99986099996,469.008768954657,82.0002785335225,2982.9997215417,364.993874948288,4048.00164438891
Podocnemis expansa,26.1145,68.27025,2.075,25.3085,54.53475,205.325,2986.00139419828,590.005509818505,99.9972144035948,2978.99999987321,538.994850556743,2027.93775260523
Podocnemis sextuberculata,26.46975,64.75275,1.925,25.75825,41.73525,331.3,2990.99993059887,437.003203082395,83.9992339325244,2985.00111413251,397.502721180381,2994.5109446616
Podocnemis unifilis,26.176,73.952875,2.3125,25.341875,58.673,175.5375,2986.99874624879,641.002017581828,104.000487609197,2979.0000001403,579.504459321645,1608.13163021785
Podocnemis vogli,26.6585,90.13075,3,25.38325,66.5005,100.475,2995.9987464474,899.021163667082,109.000696284469,2984.00069649766,643.020196943979,885.93690025817
Polychrus acutirostris,26.16475,126.892,4.175,24.9915,75.7965,45.475,2982.9988857668,1163.00294184705,140.000418172552,2967.9969360773,722.994847686125,511.036601432834
Polychrus liogaster,26.197875,66.603125,2.0125,25.321,63.417,129.025,2984.00083558341,609.478972739699,108.999095566377,2973.00076589919,581.501254835555,1350.54995932611
Polychrus marmoratus,26.16675,77.461,2.45,25.30825,63.17625,137.4,2986.00041825272,710.026879441415,108.998329086255,2978.0005571074,594.999857557789,1377.92550174103
Potamites ecpleopus,26.03975,59.797375,1.825,25.341875,48.29475,240.85,2986.0002785623,534.500139992286,93.9972848968445,2979.00069615115,480.000421292575,2269.12662266713
Potamites ocellatus,24.519,117.181,3.625,22.9585,66.27975,142.275,2977.00194966912,1475.95072241634,121.999721933693,2954.00278494283,482.018520669047,1948.94888467607
Pristidactylus achalensis,19.20525,557.548375,15.925,12.1165,81.2925,26.0625,2890.00340972398,4975.49615660699,237.499790194484,2825.00452303539,739.499017467882,357.487133303066
Pristidactylus araucanus,11.947875,615.17125,17.2125,4.962375,50.808,40.9,2860.00021489329,5992.46744230076,291.999719538298,2781.50222943696,361.979043900151,481.764529734423
Pristidactylus casuhatiensis,16.0855,584.51075,16.7,8.975,40.21475,74.075,2875.99930452575,5395.96825450607,248.999443305828,2809.99944413721,350.007507554242,942.997241141146
Pristidactylus fasciatus,16.638625,625.4955,17.575,9.36675,39.952375,49.3625,2890.5013219154,5785.03472737195,279.998329359638,2816.00222818608,461.014618246017,479.006624273288
Pristidactylus scapulatus,10.39575,606.97975,17.05,3.125,56.32175,56.575,2872.0069629647,5783.0393928452,282.999165617046,2799.00598859428,618.021708861031,455.97048666617
Procellosaurinus erythrocercus,27.1855,126.2115,4.5,25.8085,90.28775,4.425,2993.99972087548,1080.04195941966,142.999162225717,2981.00083629698,881.975445980454,54.0001396086163
Procellosaurinus tetradactylus,27.1855,126.2115,4.5,25.8085,90.28775,4.425,2993.99972087548,1080.04195941966,142.999162225717,2981.00083629698,881.975445980454,54.0001396086163
Proctoporus bolivianus,13.89175,128.453125,3.85,12.324875,72.83225,117.6375,2818.00641026798,1140.47939502592,120.99644992343,2802.50466621461,732.462746871012,1044.27654742806
Proctoporus guentheri,18.241625,132.991375,4.025,16.891625,67.53375,121.175,2899.01517682209,1350.02111028118,118.999303592593,2877.0203999581,597.489203764817,1657.10196422019
Proctoporus xestus,18.378,224.75775,6.575,15.266625,87.877,28.325,2910.00641080115,2208.47021922873,171.492272917174,2874.51531845489,830.998393827078,294.510230380023
Pseudalsophis elegans,19.5685,119.4935,3.325,17.9915,109.05075,7.55,2912.9610123902,862.004340631351,113.997632472506,2898.98147905015,838.970338673739,97.0384225708063
Pseudoboa coronata,26.2095,76.426375,2.4,25.329125,62.174125,154.3375,2986.00195101857,681.016576597444,107.000278717694,2978.00076586016,589.98718840958,1500.14141405842
Pseudoboa haasi,21.25425,324.38125,8.95,16.675,20.91825,325.875,2920.99985848636,3104.97305768803,170.991917162668,2879.00084146745,205.006681248174,3678.94215421675
Pseudoboa martinsi,26.44575,61.4925,1.7625,25.695875,41.889125,319.6875,2990.00020890598,428.997910435646,84.9981894048537,2984.999721296,399.516578171387,3132.99094805131
Pseudoboa neuwiedii,26.333375,74.469625,2.3,25.5125,53.0275,210.8125,2988.99993027746,655.509125540072,98.9909444533551,2982.00006978883,534.505221930547,2096.93761884382
Pseudoboa nigra,26.300125,118.10125,3.775,25.2415,75.949125,46.675,2985.00062660861,1037.98685134628,134.998328922018,2973.99958191455,727.99740451481,519.973115724834
Pseudoboa serrana,21.73125,211.10825,5.9375,19.016625,71.95225,85.4625,2933.00195140437,2142.446893701,152.500000691102,2903.50195114607,666.010706712921,991.435705322031
Pseudoeryx plicatilis,26,100.909625,3.15,24.979,65.894,101.55,2984,910.995551456978,121.999442804304,2973.9994428691,610.995193325489,1110.48764664402
Pseudogonatodes guianensis,25.94975,71.18,2.05,25.0165,42.534,314.75,2985.00041798515,528.017282905002,91.00055739703,2978.00013904921,411.006964625928,3108.93031057447
Pseudotomodon trigonatus,13.425125,595.055125,16.55,6.69175,64.400875,17.575,2894.50341374848,5697.98989800774,268.990386073522,2825.00076737506,660.52838472015,201.491588092762
Pseustes sexcarinatus,26.11675,69.398,2.15,25.30025,55.06825,194.125,2986.0002784137,589.999165893275,100.001254576472,2978.99944273838,540.998752110228,1960.01096899274
Psilophthalmus paeminosus,27.274,132.753125,4.5125,25.562375,86.946125,9.325,2980.00250612712,1313.02698813152,141.00048597368,2957.50250575912,851.472933027878,160.536471124274
Psomophis genimaculatus,26.32925,146.7815,4.825,24.2665,72.02825,59.825,2981.00097485656,1654.95852196037,141.00139313031,2955.00097394116,654.000419420963,712.016693105657
Psomophis joberti,26.87725,121.5445,3.825,25.54975,81.41975,28.825,2989.0009752337,1042.9955552953,137.999582677667,2976.99958241085,806.005431958124,263.988580983538
Psomophis obtusus,20.575875,446.984625,12.8875,15.458375,25.1075,232.9875,2920.00090344356,4289.46110980663,210.498606167064,2866.0006269944,247.499503554622,2318.51379372715
Psychosaura agmosticha,27.64075,138.61875,4.1375,25.895875,94.38775,25.375,2988.00320307882,1438.93857263855,143.998885733198,2968.50438556027,885.007160646543,220.743661884864
Psychosaura macrorhyncha,23.86225,167.4485,5.125,21.59175,82.37825,45.025,2959.00347895024,1713.51116905132,144.001533443356,2934.00237002964,778.008076410766,494.029581092894
Ptychoglossus brevifrontalis,26.00625,67.42975,1.95,25.14175,42.766,315.05,2986.0000001508,512.009608462636,89.0018107644643,2978.99999987321,416.989000190075,3108.93031057447
Ptychophis flavovirgatus,20.721875,314.7385,8.625,16.320875,22.41675,323.075,2918.50139069372,2995.70103130275,166.494493251263,2874.49832845149,218.012468059882,3326.45949451288
Rena unguirostris,24.087375,260.12125,7.525,20.4375,76.099,44.7375,2971.00153214857,2917.43819475029,174.497215675961,2928.0024371174,720.472915340799,459.551091635573
Rhachidelus brazili,25.65625,160.148625,5.1125,23.3,76.9335,43.1125,2971.49916324932,1636.98687331896,149.99972121558,2946.00069492186,731.004667685793,559.989909779325
Rhachisaurus brachylepis,24.04175,162.073625,5.0625,21.7375,93.570625,19.3625,2955.00020722355,1711.01082274147,147.500138792421,2929.00118263667,899.000203057772,236.281386291828
Rhinemys rufipes,26.15525,69.035875,1.9625,25.36675,30.421,492.275,2988.00013938965,436.502437178783,82.9994426988019,2981.99986086685,311.008774225693,4509.75331125559
Rhinobothryum lentiginosum,26.23125,61.43425,1.925,25.525,57.95625,165.225,2987.99972136449,579.006416406519,103.000418309949,2980.0013928903,578.996515301198,1525.99933719581
Rhinoclemmys punctularia,26.466625,81.656625,2.5625,25.708375,56.399625,201.825,2989.00090571348,714.520411480657,103.493036527206,2982.00118415029,580.497915382422,1908.45648679087
Riolama leucosticta,24.03225,90.23025,2.95,23.01675,54.146375,254.1125,2978.99902597125,754.210993749594,111.99554229881,2968.00007080299,714.446027680025,1259.46696295359
Riolama luridiventris,24.7585,87.6045,2.825,23.875,59.0645,266.675,2980.99345222333,525.00152247367,94.0016709471192,2971.99373095584,467.021718410567,4267.09456973886
Riolama uzzelli,24.7585,87.6045,2.825,23.875,59.0645,266.675,2980.99345222333,525.00152247367,94.0016709471192,2971.99373095584,467.021718410567,4267.09456973886
Rodriguesophis chui,27.35225,123.5645,4.5,26.2,91.8915,4.325,2999.99470432066,1039.00293678892,147.99735300125,2985.99525981576,884.996504779763,33.0154711322578
Rodriguesophis iglesiasi,27.31025,131.66525,4.4,25.825,87.389,10.95,2992.99749039995,1124.98730418394,137.999303965158,2980.00027903829,858.996240685702,84.9974948086719
Rodriguesophis scriptorcibatus,27.5595,131.62875,4.5,26.283375,89.920125,5.225,2995.50111369804,1042.03109322882,142.499790066547,2979.00118372005,915.997565298539,55.0027896659551
Salvator duseni,26.156375,127.02025,4.1375,24.3165,84.1345,22.8125,2975.00034791833,1173.99940766279,148.999373067977,2952.99958167214,822.996384021319,275.493947989659
Salvator merianae,25.95725,128.86075,4.275,24.791625,66.8085,69.05,2981.00097494796,1188.97516238083,140.999582795444,2965.00090471474,631.515527008937,768.003923134205
