inertia,OMI,Tol,Rtol,omi,tol,rtol
Amazona.brasiliensis,6.07895148349859,4.57315428396338,0.459342889977841,1.04645430955736,75.2,7.6,17.2
Amazona.pretrei,6.6064682062509,5.69529450100839,0.168710128681794,0.742463576560716,86.2,2.6,11.2
Amazona.rhodocorytha,4.25911424038578,1.8608263242761,0.951385736265747,1.44690217984393,43.7,22.3,34
Amazonetta.brasiliensis,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Amazona.vinacea,4.0384386875368,0.868134980435591,1.72312351509711,1.44718019200409,21.5,42.7,35.8
Anhima.cornuta,3.22559614956674,0.567610442791878,0.986369234810612,1.67161647196425,17.6,30.6,51.8
Anodorhynchus.hyacinthinus,3.66325906630043,3.27989430430629,0.0665079070935967,0.316856854900544,89.5,1.8,8.6
Anthracothorax.nigricollis,3.91745249441189,0.00148340396458301,1.87656077241319,2.03940831803412,0,47.9,52.1
Antrostomus.sericocaudatus,2.73939317481226,0.11889846834057,0.695612267007603,1.92488243946408,4.3,25.4,70.3
Aphantochroa.cirrochloris,4.16010807458912,0.351973785799207,1.43531970611021,2.37281458267971,8.5,34.5,57
Aratinga.auricapillus,3.38958065521155,0.451021336805634,1.20376011723592,1.73479920116999,13.3,35.5,51.2
Aratinga.jandaya,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Ara.chloropterus,1.74265437570533,0.778111458865486,0.0673422442931894,0.897200672546655,44.7,3.9,51.5
Ardea.cocoi,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Augastes.scutatus,4.37312542165421,2.91655409803428,0.14970625905401,1.30686506456591,66.7,3.4,29.9
Bartramia.longicauda,3.98995804736918,1.16231470917767,1.56360648627447,1.26403685191704,29.1,39.2,31.7
Baryphthengus.ruficapillus,3.45242080337352,0.0158534164696707,0.999954248866933,2.43661313803692,0.5,29,70.6
Brotogeris.chiriri,2.21045123163109,0.235546113256316,0.434506891420622,1.54039822695416,10.7,19.7,69.7
Brotogeris.tirica,4.04807046049371,0.42188860550245,1.46540140567935,2.16078044931191,10.4,36.2,53.4
Buteogallus.coronatus,4.0308836983584,0.122541502843938,0.89818607643792,3.01015611907654,3,22.3,74.7
Buteogallus.lacernulatus,4.17380628144551,0.741911123097962,1.01429039864064,2.41760475970692,17.8,24.3,57.9
Buteogallus.meridionalis,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Buteo.brachyurus,3.98912618229477,0.000136620352524599,1.75576783789865,2.23322172404359,0,44,56
Buteo.nitidus,4.23165843661258,1.55535560669216,0.875487638462509,1.80081519145791,36.8,20.7,42.6
Chauna.torquata,4.31651002375016,2.31315798316941,1.00198435354871,1.00136768703204,53.6,23.2,23.2
Campephilus.melanoleucos,3.30730603920358,0.76105636409072,1.14615009078521,1.40009958432765,23,34.7,42.3
Calliphlox.amethystina,3.97540582300738,0.000814535114646962,1.85470499669124,2.11988629120149,0,46.7,53.3
Callonetta.leucophrys,6.22261449812317,3.82609892805204,0.288648977844966,2.10786659222616,61.5,4.6,33.9
Campephilus.robustus,3.64805503957552,0.0206464034614318,1.16330291781947,2.46410571829462,0.6,31.9,67.5
Cariama.cristata,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Celeus.flavescens,3.61077618428509,0.175360485129364,1.24055016394419,2.19486553521153,4.9,34.4,60.8
Celeus.flavus,5.01169641307641,3.06572420168154,0.800068880090812,1.14590333130406,61.2,16,22.9
Celeus.lugubris,0.903137537051717,0.814493292967255,0.0168609035559742,0.0717833405284877,90.2,1.9,7.9
Celeus.tinnunculus,4.92272255454962,3.10027491307842,0.207287019712677,1.61516062175852,63,4.2,32.8
Elaenia.mesoleuca,3.5784819908649,0.0785925304303155,1.04852313169218,2.4513663287424,2.2,29.3,68.5
Biatas.nigropectus,3.30502484669418,0.556670391786025,1.09009983803078,1.65825461687737,16.8,33,50.2
Acrobatornis.fonsecai,4.32769433203498,3.41563793379287,0.0697098352462524,0.842346562995863,78.9,1.6,19.5
Alectrurus.tricolor,2.56184789846066,0.690634488780105,0.605049584030752,1.26616382564981,27,23.6,49.4
