Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Scinax_carnevallii,2.18125,31.983,0.8,2.45025,17.78675,55.625,162.98746964596,590.98926136583,64.9994546046276,164.98788766769,561.947818906926,2144.74453219957
Scinax_castroviejoi,12.32525,230.80075,6.1,13.73325,40.4155,180.725,279.9739508558,3222.83290877008,116.997354971402,274.97784954349,669.96113643032,4651.88627550452
Scinax_catharinae,3.7895,107.96675,2.975,4.69175,32.8925,136.1,113.99177745036,1534.88617899561,115.997911751583,116.98788699708,385.00208118501,3981.8210627844
Scinax_centralis,1.82875,28.2235,0.95,2.4335,3.02375000000001,12.275,55.9999988383101,678.012931523008,35.997216015832,58.99999623438,137.999028816978,378.977301007135
Scinax_chiquitanus,9.4395,121.81575,3.825,10.6,24.50125,362.425,310.95572739315,1883.96074979968,96.9856579713693,319.95656384527,555.916744536363,7436.92072078761
Scinax_constrictus,3.152,14.018,0.475,3.1835,6.81700000000001,15.325,75.99638068078,726.955160389702,55.997629217325,81.99902876756,140.99108228698,340.991645309611
Scinax_cretatus,3.34825,75.62675,2.175,3.89175,71.304,250.675,78.9902414622197,1368.99161078675,120.000136949191,79.9946953147901,958.916479608581,4105.95928310446
Scinax_crospedospilus,3.54125,39.51,0.774999999999999,3.975,24.72825,91.65,156.98565841334,1152.98636420814,120.996242172157,162.98677302311,558.956294149787,3646.58291677696
Scinax_cruentommus,10.629,100.558,2.875,10.65025,64.145,785.1,258.95070953395,1165.9025417366,112.998468297652,271.94903876811,646.958634448265,16713.2975939837
Scinax_curicica,0.668749999999999,10.73075,0.199999999999999,0.766500000000001,2.98699999999999,11.975,102.99791482822,329.01016847793,19.999720132514,103.99777541677,136.994021791521,455.004620565119
Scinax_cuspidatus,4.908,87.26,2.25,6.01675,68.81675,299.025,169.97841137808,1541.94022942363,123.999581942277,182.98705164599,769.975745899396,3925.98606416826
Scinax_danae,1.78325,1.45599999999999,0.175,1.875,1.541,33.25,147.99178221445,423.985794820991,29.9993035875192,147.9916427596,315.972419582543,4333.82057641728
Scinax_dolloi,0,0,0,0,0,0,154.9821805549,347.99833914848,59.994295206111,157.98176303953,309.984716582428,1784.79467739416
Scinax_duartei,2.0645,31.983,0.8,2.36675,17.78675,55.625,154.9821805549,590.98926136583,64.9994546046276,157.98176303953,561.947818906926,2144.74453219957
Scinax_eurydice,7.027,151.48825,4.325,8.675,79.63425,316.975,203.97897014222,2154.9810614356,142.99888450179,211.98036262673,958.916479608581,4107.99777829589
