"";"x"
"Bolitoglossa_occidentalis";0,403198866012159
"Bolitoglossa_indio";-1,68720480224081
"Bolitoglossa_adspersa";-1,09870406279158
"Bolitoglossa_altamazonica";0,643678365731658
"Bolitoglossa_peruviana";-1,06189367440941
"Bolitoglossa_palmata";0,305058874987048
"Bolitoglossa_cuna";0,18557619673678
"Bolitoglossa_decora";0,249943465113963
"Bolitoglossa_tatamae";-0,856560529371804
"Bolitoglossa_gomezi";-1,45119148485781
"Bolitoglossa_obscura";-0,433575622892538
"Bolitoglossa_tzultacaj";-1,2642198957615
"Bolitoglossa_mombachoensis";-17,5000440082402
"Bolitoglossa_striatula";14,7422002265004
"Bolitoglossa_mulleri";10,7258432376711
"Bolitoglossa_yucatana";-2,33964429447214
"Bolitoglossa_pygmaea";-1,07418319864767
"Bolitoglossa_taylori";-0,626677428024549
"Bolitoglossa_nicefori";2,05835719571452
"Bolitoglossa_cerroensis";4,03490406300429
"Bolitoglossa_epimela";-3,75741226466512
"Bolitoglossa_equatoriana";-1,52781918530652
"Bolitoglossa_alvaradoi";-1,08158717818513
"Bolitoglossa_dofleini";4,17751197282393
"Bolitoglossa_gracilis";-2,75592684501751
"Bolitoglossa_subpalmata";3,8772500710446
"Bolitoglossa_tica";-1,77064283145421
"Bolitoglossa_macrinii";-0,8534954213539
"Bolitoglossa_la";-0,730278079031606
"Bolitoglossa_anthracina";-0,945448661892978
"Bolitoglossa_psephena";0,672928371593404
"Bolitoglossa_mexicana";7,08199249819134
"Bolitoglossa_odonnelli";-6,67603397112726
"Bolitoglossa_conanti";0,505946638685145
"Bolitoglossa_diaphora";-4,09220060352457
"Bolitoglossa_dunni";3,80203137811056
"Bolitoglossa_salvinii";1,99705503535494
"Bolitoglossa_celaque";2,44972299828778
"Bolitoglossa_synoria";-1,37516753719666
"Bolitoglossa_heiroreias";-2,49363924456807
"Bolitoglossa_insularis";-1,13855046702494
"Bolitoglossa_magnifica";-0,0565673366826091
"Bolitoglossa_franklini";-0,363078138479381
"Bolitoglossa_meliana";-0,424380298838594
"Bolitoglossa_hermosa";-0,744774945412255
"Bolitoglossa_riletti";0,372056014025847
"Bolitoglossa_longissima";0,343764701175722
"Bolitoglossa_porrasorum";-0,0393074834895095
"Bolitoglossa_sombra";-0,0565673366826133
"Bolitoglossa_xibalba";-0,870966537056426
"Bolitoglossa_hiemalis";-1,62283753386359
"Bolitoglossa_omniumsanctorum";-0,15924845528463
"Bolitoglossa_lignicolor";1,78249747409743
