"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"677","Monodelphis osgoodi","7.99965184128639","68.499581967787","119.497982600307","10.9997911745896","15.5014619633245","57.4995125288917","178.002296930493"
"678","Monodelphis palliolata","7.99958205899916","76.4992339666085","75.5039006389173","9.99951237379678","24.0002089527962","46.0024379682738","101.500417552412"
"679","Monodelphis peruviana","7.99972148199888","71.0005570166092","69.0019512938978","10.0002786426069","23","54.000557391397","195.007108055953"
"680","Monodelphis reigi","7.99972138140865","77.9987463894536","58.0033428838179","9.99986065240922","21.000835855774","40.9987464854536","352.012539182708"
"681","Monodelphis ronaldi","7.50006959950029","71.4999303171058","80.9979818289752","10.5000695995003","22.0002785123046","58.9995124139838","140.495197826956"
"682","Monodelphis scalops","8.99986061039807","54.0000694745966","230.996031520294","15.9994423947945","17.0001391512993","48.0018783169657","169.492069074603"
"683","Monodelphis unistriata","8.4999999996996","52.5000694716962","299.496797461988","16.4999302945014","16.0002087248013","30.0008354397046","288.49645796266"
"684","Mustela africana","7","73.9998606387032","57.0016012205948","9.99986075670433","25","51.0010451638332","217.008073611669"
"685","Mustela felipei","7.00006966119904","79.9999999119989","47.5009059939575","8.99993043529643","15.0011838976092","32.9990946882958","381.538018410075"
"686","Mustela frenata","10","32.0001395515997","822.500980102258","33.0005570068965","0.999721155422584","45.000070303799","82.0011836992603"
"687","Myocastor coypus","9.99972158906813","42.0002784943054","450.506027872959","21.9998607449994","10.0002784646128","40.9994420416946","68.5017409713212"
"688","Myoprocta acouchy","7.00027861059246","71.4985376236129","68.9987466449419","10.0001393790006","25","54.0011842566863","231.992753261971"
"689","Myoprocta pratti","6.99986075299944","76.9997214511044","48.0000694246077","8.99972146339724","25","35.9993039664019","378.008837724279"
"690","Myrmecophaga tridactyla","8","67.0002783945989","90.4978416053175","12","24.0001392150006","59.9993040335186","116.004737282845"
"691","Mysateles melanurus","8.49853716872346","63.4928948121179","149.498119331132","12.9982585618365","24","49.9981194815878","136.510516645742"
"692","Mysateles prehensilis","7.99825862524542","58.9926162440371","178.998398479441","12.4987461252243","23.499930342204","57.4977009989505","118.007731362699"
"693","Nasua narica","10.9991647681959","57.0004176984089","225.013234653585","18.0002786780011","17.0004178730017","68.999582220201","47.0020891564076"
"694","Nasua nasua","8","68.0000694166804","83.9961011893258","11.9998608103992","24.0001393390006","58.9983978429069","138.004876012578"
