"Species","rates_bird_svl","rates_bird_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Phylloscartes_oustaleti",0.00305169022759176,-0.00025335357210653,"7.99930255121978","53.9999994868073","215.995404125671","13.999162941826","19.0001394190005","54.9998586852178","121.995825238943"
"Phylloscartes_beckeri",-0.00122968397952514,-0.000712159944657154,"8.49999974229512","65.9998602678848","151.999163985111","12.9999301564997","20.0003484700917","58.4986720835203","66.0087934258995"
"Phylloscartes_roquettei",-0.0126527703779878,-2.66493877445103e-05,"9.00027859859415","63.9999301819053","149.498816578829","14.00034828669","20.9999299047934","89.5000698295003","22.5024411571826"
"Phylloscartes_ceciliae",-0.00538540147619877,-2.6649387798515e-05,"7.9991631208262","68.4986737803709","116.993867415347","11.4988843342407","23.0003483960855","59.0009759032957","76.5020287299386"
"Phylloscartes_difficilis",-0.00835602836680853,-0.000689907314017717,"7.99958160670547","49.9984656232195","242.497211529789","14.9997907763011","17.0004876796966","38.0006960612003","253.99130626738"
"Phylloscartes_sylviolus",-0.00380847682026349,1.19630570856581e-05,"8.99986059299943","51.9990232027866","283.002228939071","15.9998606083986","17.0001391630006","29.9999993427906","261.994558480769"
"Phylloscartes_kronei",-0.00267669414495032,-0.000141107306159346,"3.49979058810026","28.998883371001","285.994214275676","11.4995816112987","17.5001395547007","28.4998591548927","307.995609674385"
"Mionectes_rufiventris",-7.57234764335311e-05,0.00761412020219758,"9","54.0004174650017","261.992899666761","15.9997213979989","17.9999997673992","36.0016704142027","205.978837364405"
"Leptopogon_amaurocephalus",-0.00278395527394474,0.00166605290863774,"8.00013933759691","65.9997216345197","102.001114851776","12.9998606632987","23.0004179498909","59.9993733218917","107.99763161054"
"Rhynchocyclus_olivaceus",0.0119635527600395,0.000212169056051924,"7.99923351661989","70.9997212357046","73.4988858502154","10.0001393790006","25","58.9976310581717","169.504732213796"
"Tolmomyias_poliocephalus",-0.0062235073851975,0.000153593183265995,"7.00000001940727","72.9977020779005","60.0013931120889","9.99986080610408","25","53.9974225080688","204.003269242618"
"Tolmomyias_flaviventris",0.00171522434708118,0.000709671671348457,"7.99986080839974","68.9997214019989","79.9986069586983","11.0001393830006","25","65.9991644402076","90.0037620352752"
"Todirostrum_poliocephalum",-0.00359921630336771,0.000536442537560568,"8.00027858318605","58.9998600329995","197.997914029011","14.9998605609994","18.999999752","64.0012521710051","96.001403926034"
"Poecilotriccus_fumifrons",-0.00599896001680313,0.00122221730690148,"8","69.498676518568","83.9989546805341","11.0001393812965","25.0001392350006","64.0019503417044","117.505020728866"
"Poecilotriccus_plumbeiceps",-0.0174569833010544,-0.000657845577703904,"8.99993030449193","55.999929377601","246.994291155775","15.0000695677999","17.9999304401982","47.5012516631658","182.001118039509"
"Poecilotriccus_latirostris",0.00784896663765864,0.000400950931074628,"7.99986082439555","68.000139267894","65.0010447361949","11.0003482141028","24","57.5001394980969","133.996863760607"
"Myiornis_auricularis",-0.0185272771332299,-0.000143460182170587,"8.99999998060249","54.0002781167939","257.991920366375","15.9991632967906","18.0002782906025","36.0012525774195","211.008919354418"
"Hemitriccus_nidipendulus",-0.00566652388292794,0.00242591304926227,"8.99972139282063","59.9967927963226","185.996518568246","13.9998605569994","19.9998610935947","62.9974895421409","89.0224457104664"
"Hemitriccus_margaritaceiventer",-0.00131185472380456,0.00649049212364898,"9","63.0005570463032","134.998400934569","14.0001393536017","22.0006964041855","71.9984667969844","48.9984689106944"
"Hemitriccus_mirandae",-0.000229385188779754,0.00221132829317458,"8.9988861199955","72.9990258939165","103.994704334071","11.9997213826717","26","99.9994436897484","12.9993038455824"
"Hemitriccus_orbitatus",0.0042172974491807,0.0015198191325711,"8.99999987229791","57.4983256702214","217.994984232116","15","18.0002788291952","56.0014597243163","122.491018831468"
"Hemitriccus_obsoletus",0.0110907539658611,-0.000520048285903672,"8.99986087639471","50.9998603523959","309.997493715422","16.9997214927928","14.0006967328069","21.0015320139966","346.003887668016"
"Hemitriccus_griseipectus",0.000909869649267398,0.00201330751077049,"7.99972124881843","70.0002781260011","62.9995825377889","10.9998606049994","25","59.0011140154004","137.992619780741"
"Hemitriccus_striaticollis",-0.000407692364493477,-0.000576353653877161,"8.00013940758855","66.999999856","88.9983298372036","12.0002788505874","24.9998606529994","71.0006959738035","52.999721147011"
"Hemitriccus_diops",0.0053876963742027,-0.000283096420234907,"8.99986060069903","55.999929377601","222.996587460794","15","18.000278312299","42.0009046240856","169.492069074603"
"Hemitriccus_kaempferi",-0.000229385188956321,0.00493168029508513,"5.99958127719585","40.9980456105766","292.997773443991","12.9995812771959","17.0004179496036","27.9987451247814","311.98537758108"
"Hemitriccus_furcatus",-0.000229385189489107,0.00242058425045981,"7.99965117330419","55.999929377601","212.995260291595","14.4988147326258","20.0000002662976","56.9979055046825","113.493736181359"
"Platyrinchus_leucoryphus",0.000578595555325013,0.0094674245398841,"8.99986061269847","51.9995108675925","278.996932752894","15.999860594699","17.000278826598","31.0021914347062","255.995414949783"
"Platyrinchus_mystaceus",-0.0104960062441945,0.00115172555874845,"9","63.9998608324042","121.002373141829","13.9999999805869","23.0001391870006","70.9998608049994","58.9998616368099"
"Phyllomyias_fasciatus",-0.00761336077047057,0.00115172555877692,"9","63.0001393818965","139.99944668194","14.0001391893001","22.00048754109","76.0001372085051","45.0019513522332"
"Stigmatura_budytoides",-0.00410418835651952,0.0011517255583679,"10","48.0006959322201","394.995545650767","20.0005569332251","15.0001393510006","70.0045959697806","35.0013951580055"
"Inezia_inornata",0.000705604941418703,-0.0254825430957047,"8.00013933760248","64.0002783900011","112.496171462561","12.9998608243975","23.0001391850006","59.9996518558964","93.4988892462158"
"Euscarthmus_meloryphus",-0.000790474141120251,-0.000862705869128847,"9","62.0005569969046","144.996869859993","14.0001392753026","22.00013960041","69.0001392643992","59.9976328038924"
"Euscarthmus_rufomarginatus",-0.0138037624175167,0.00115172555883741,"9","64","114.999304636592","14.0002785985942","23.0001391716025","75.001532018802","45.9966578671932"
"Ornithion_inerme",-0.0102444008018169,-0.000862705868950873,"7.00013935559078","71.9997212534092","62.0009749568295","10.0000000193992","25","55.0009743197957","182.003478794898"
"Camptostoma_obsoletum",-0.00151379324247745,-0.000726319730610907,"8","66.9999998514053","89.997772707385","11.9998608009994","24","59.9997222259063","111.987881951775"
"Phaeomyias_murina",-0.00827253081487471,-0.00509308499663852,"8","67.9998604200314","84.9997213431849","11.9998607558123","24.9994422988151","62.0033426705612","98.9977709213577"
"Phyllomyias_virescens",-0.01269804552699,0.00115172555884063,"9","51.9999995473959","279.996092044202","15.9998608449994","17.0002785860011","32.0040340174043","231.992623035985"
"Zimmerius_acer",-0.0158161380512325,-0.001077739403373,"7.99986058559022","70.999163656236","76.0006961332171","10.9997213659989","25.0000000194131","62.9995823504042","135.999021830409"
